frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.444,443.84,2.25,0,
2,0.689,77.4,3.84,0,
3,0.821,76.82,5.02,0,
4,0.954,76.32,5.93,0,
5,1.089,77.44,6.65,0,
6,1.221,76.14,7.25,0,
7,1.365,86.88,7.65,0,
8,1.488,76.59,8.07,0,
9,1.621,75.29,8.44,0,
10,1.756,77.03,8.74,0,
11,1.889,76.78,9.01,0,
12,2.023,77.34,9.25,0,
13,2.155,76.36,9.46,0,
14,2.288,75.8,9.65,0,
15,2.421,75.25,9.83,0,
16,2.556,76.75,9.99,0,
17,2.689,76.61,10.13,0,
18,2.821,75.25,10.26,0,
19,2.956,76.98,10.38,0,
20,3.089,76.24,10.49,0,
21,3.222,75.92,10.59,0,
22,3.357,76.91,10.68,0,
23,3.49,76.82,10.76,1,cell phone
24,3.624,76.97,10.84,1,person
25,3.757,77.14,10.91,0,
26,3.891,77.22,10.98,0,
27,4.023,75.88,11.05,0,
28,4.157,76.82,11.11,0,
29,4.291,76.89,11.16,0,
30,4.425,77.31,11.22,0,
31,4.556,74.99,13.01,0,
32,4.69,75.85,13.02,1,cup
33,4.824,76.88,13.02,1,cup
34,4.957,75.79,13.02,2,cell phone;cup
35,5.091,76.55,13.03,0,
36,5.224,76.48,13.02,0,
37,5.358,76.72,13.08,1,cup
38,5.491,76.39,13.08,4,cup;cup;cup;bottle
39,5.625,77.37,13.07,2,bottle;bottle
40,5.758,76.62,13.07,1,bottle
41,5.891,76.43,13.07,3,bottle;bottle;bottle
42,6.023,74.86,13.09,1,bottle
43,6.158,76.16,13.09,3,bottle;bottle;bottle
44,6.291,76.17,13.09,2,bottle;bottle
45,6.425,76.83,13.08,2,bottle;bottle
46,6.557,75.37,13.09,3,bottle;bottle;bottle
47,6.691,75.49,13.09,1,bottle
48,6.824,75.24,13.09,1,bottle
49,6.957,74.67,13.11,1,bottle
50,7.09,74.16,13.12,1,bottle
51,7.224,74.62,13.13,1,bottle
52,7.358,74.91,13.14,1,bottle
53,7.493,77.35,13.13,1,bottle
54,7.623,73.91,13.15,1,bottle
55,7.759,76.24,13.16,1,bottle
56,7.894,77.49,13.16,1,bottle
57,8.026,76.35,13.15,1,bottle
58,8.16,75.99,13.16,3,cup;bottle;cup
59,8.292,75.66,13.16,1,cup
60,8.427,77.16,13.17,0,
61,8.561,77.34,13.15,0,
62,8.695,77.8,13.14,0,
63,8.828,77.65,13.14,1,cup
64,8.962,77.92,13.12,1,cup
65,9.094,76.8,13.12,1,cup
66,9.228,77.67,13.12,1,cup
67,9.362,77.49,13.11,1,cup
68,9.495,77.31,13.11,1,cup
69,9.629,78.35,13.1,1,cup
70,9.762,77.55,13.1,1,cup
71,9.895,76.69,13.09,1,cup
72,10.029,77.58,13.08,1,cup
73,10.162,77.71,13.07,1,cup
74,10.298,79.65,13.05,1,cup
75,10.429,77.78,13.04,1,cup
76,10.563,78.43,13.03,1,cup
77,10.695,76.76,13.02,1,cup
78,10.829,77.03,13.01,2,cup;cup
79,10.964,78.77,12.99,2,cup;cup
80,11.096,77.19,12.97,5,cup;cup;cup;cup;cup
81,11.229,76.39,12.96,2,cup;cup
82,11.364,78.01,12.94,3,cup;bottle;cup
83,11.497,78.12,12.94,2,cup;cup
84,11.629,76.54,12.92,1,cup
85,11.765,78.74,12.91,2,cup;cup
86,11.896,76.5,12.91,0,
87,12.029,76.44,12.91,1,cup
88,12.164,77.85,12.9,2,cup;cup
89,12.297,77.22,12.9,3,cup;cup;cup
90,12.43,77.17,12.9,2,cup;cup
91,12.561,74.59,12.91,2,cup;cup
92,12.697,77.53,12.91,2,bottle;cup
93,12.828,75.04,12.93,2,cup;cup
94,12.964,77.33,12.93,1,cup
95,13.098,77.37,12.93,2,cup;cup
96,13.231,77.08,12.93,1,cup
97,13.364,77.38,12.93,1,cup
98,13.496,76.04,12.94,1,cup
99,13.63,76.01,12.95,2,cup;cup
100,13.765,77.36,12.95,1,cup
101,13.898,77.31,12.95,1,cup
102,14.031,77.28,12.95,2,cup;cup
103,14.164,76.43,12.96,2,cup;bottle
104,14.298,76.64,12.97,4,cup;person;bottle;cup
105,14.431,76.8,12.98,1,cup
106,14.564,76.31,12.99,2,person;person
107,14.698,76.27,12.99,3,person;bottle;person
108,14.832,77.41,12.99,4,bottle;bottle;bottle;person
109,14.965,77.07,13.0,3,bottle;bottle;person
110,15.097,75.78,13.01,4,bottle;bottle;person;bottle
111,15.232,76.69,13.01,3,bottle;bottle;person
112,15.365,76.6,13.02,4,bottle;cup;bottle;person
113,15.5,77.69,13.02,4,bottle;bottle;bottle;person
114,15.633,77.4,13.01,0,
115,15.766,76.9,13.02,1,person
116,15.898,75.77,13.03,1,person
117,16.033,77.37,13.02,1,person
118,16.164,74.92,13.04,1,person
119,16.3,77.36,13.04,1,person
120,16.433,77.05,13.04,1,person
121,16.565,75.97,13.03,1,person
122,16.699,75.79,13.04,1,person
123,16.833,76.57,13.03,1,person
124,16.966,75.95,13.04,1,person
125,17.1,76.97,13.04,1,person
126,17.234,77.46,13.04,1,person
127,17.367,77.63,13.04,1,person
128,17.499,75.78,13.04,1,person
129,17.634,77.65,13.03,1,person
130,17.768,77.55,13.03,2,person;person
131,17.902,78.77,13.02,2,person;person
132,18.032,74.89,13.04,1,person
133,18.167,76.24,13.04,1,person
134,18.3,76.14,13.04,1,person
135,18.433,76.14,13.04,1,person
136,18.568,76.85,13.04,1,person
137,18.7,76.26,13.04,1,person
138,18.834,76.21,13.05,1,person
139,18.968,77.07,13.05,1,person
140,19.1,75.64,13.05,1,person
141,19.234,76.09,13.05,1,person
142,19.367,76.0,13.05,1,person
143,19.501,76.58,13.06,1,person
144,19.635,76.35,13.07,1,person
145,19.769,77.79,13.06,2,bottle;person
146,19.902,77.29,13.05,1,person
147,20.035,76.61,13.06,9,bottle;bottle;bottle;bottle;bottle;bottle;bottle;person;bottle
148,20.168,75.67,13.05,1,person
149,20.303,78.0,13.05,2,bottle;person
150,20.436,77.09,13.05,6,bottle;bottle;bottle;bottle;bottle;person
151,20.568,75.54,13.05,1,person
152,20.704,78.04,13.04,1,person
153,20.835,76.13,13.04,1,person
154,20.969,76.48,13.04,3,bottle;person;bottle
155,21.101,74.93,13.05,1,person
156,21.234,75.0,13.06,1,person
157,21.367,74.42,13.08,1,person
158,21.503,76.61,13.08,1,person
159,21.637,77.48,13.08,0,
160,21.771,77.76,13.08,1,bottle
161,21.903,76.16,13.09,3,bottle;bottle;cup
162,22.036,76.08,13.09,0,
163,22.169,75.94,13.09,6,bottle;bottle;bottle;bottle;bottle;cup
164,22.303,75.96,13.09,5,cup;bottle;bottle;bottle;bottle
165,22.435,74.59,13.1,4,cup;cup;cup;cup
166,22.569,75.44,13.1,4,cup;bottle;bottle;bottle
167,22.704,77.05,13.1,4,cup;bottle;cup;bottle
168,22.838,77.95,13.09,4,bottle;bottle;cup;bottle
169,22.968,74.0,13.11,4,cup;bottle;cup;bottle
170,23.102,75.01,13.11,5,cup;cup;bottle;bottle;bottle
171,23.237,76.23,13.11,4,cup;cup;bottle;bottle
172,23.371,77.28,13.1,4,bottle;cup;cup;bottle
173,23.506,77.86,13.1,4,bottle;cup;cup;bottle
174,23.637,75.94,13.1,4,bottle;cup;cup;bottle
175,23.773,78.26,13.1,7,bottle;cup;cup;cup;cup;cell phone;bottle
176,23.906,77.74,13.09,3,bottle;cup;bottle
177,24.038,77.11,13.09,2,cup;cup
178,24.172,77.15,13.08,2,cup;cup
179,24.305,77.1,13.09,0,
180,24.437,75.87,13.09,0,
181,24.572,76.81,13.09,0,
182,24.705,76.39,13.1,0,
183,24.838,75.63,13.1,1,person
184,24.971,75.75,13.1,1,person
185,25.105,76.07,13.1,1,person
186,25.239,76.28,13.09,1,person
187,25.372,76.26,13.08,1,person
188,25.505,76.02,13.08,0,
189,25.639,76.15,13.09,1,person
190,25.773,77.34,13.09,0,
191,25.906,76.44,13.09,2,person;person
192,26.039,76.46,13.09,0,
193,26.173,77.18,13.08,1,person
194,26.308,78.02,13.07,2,person;person
195,26.44,76.82,13.06,0,
196,26.573,76.05,13.05,2,person;person
197,26.706,76.5,13.06,2,person;person
198,26.84,77.06,13.06,1,person
199,26.973,76.13,13.05,1,person
200,27.107,77.29,13.04,1,person
201,27.242,78.19,13.03,1,person
202,27.375,77.46,13.02,1,person
203,27.507,76.23,13.03,1,person
204,27.64,76.31,13.03,1,person
205,27.775,77.63,13.04,3,person;person;person
206,27.908,77.42,13.04,2,person;person
207,28.041,76.4,13.04,2,person;person
208,28.175,77.63,13.04,2,person;person
209,28.307,76.42,13.04,1,person
210,28.441,76.74,13.04,2,person;person
211,28.576,77.73,13.03,4,person;person;person;person
212,28.708,76.77,13.03,1,person
213,28.84,74.76,13.03,4,person;person;person;person
214,28.974,75.6,13.04,1,person
215,29.108,76.54,13.03,4,person;person;person;person
216,29.242,76.63,13.03,3,person;person;person
217,29.376,77.83,13.02,0,
218,29.51,77.89,13.01,3,person;person;person
219,29.642,77.05,13.01,4,cell phone;person;person;person
220,29.777,78.38,13.0,2,person;person
221,29.909,76.5,13.0,1,person
222,30.043,77.33,13.0,5,person;person;cell phone;person;person
223,30.175,75.52,13.0,1,person
224,30.307,74.94,13.02,2,person;person
225,30.442,75.7,13.03,1,person
226,30.576,76.77,13.02,1,person
227,30.709,76.55,13.02,1,person
228,30.843,76.34,13.03,2,person;person
229,30.976,75.97,13.03,1,person
230,31.107,74.31,13.05,2,person;person
231,31.241,74.32,13.07,1,person
232,31.374,74.3,13.09,1,person
233,31.51,76.4,13.09,2,person;person
234,31.643,76.53,13.08,2,person;person
235,31.778,77.24,13.09,1,person
236,31.909,74.86,13.1,1,person
237,32.043,75.96,13.1,1,person
238,32.176,75.62,13.11,1,person
239,32.311,76.65,13.11,1,person
240,32.444,76.73,13.11,1,person
241,32.579,78.47,13.11,0,
242,32.714,79.84,13.09,0,
243,32.845,77.4,13.08,0,
244,32.977,75.53,13.08,0,
245,33.111,76.52,13.08,0,
246,33.243,75.15,13.09,3,cup;bottle;cup
247,33.376,75.03,13.1,5,cup;cup;bottle;bottle;bottle
248,33.51,75.61,13.11,5,cup;cup;bottle;bottle;bottle
249,33.644,75.31,13.12,3,bottle;cup;bottle
250,33.777,75.62,13.14,3,bottle;cup;bottle
251,33.911,75.96,13.14,5,cup;bottle;bottle;cup;bottle
252,34.045,76.57,13.15,4,cup;bottle;bottle;bottle
253,34.179,77.48,13.14,5,cup;bottle;bottle;bottle;bottle
254,34.312,76.44,13.13,2,bottle;bottle
255,34.444,75.45,13.13,3,bottle;cup;bottle
256,34.579,76.16,13.13,2,bottle;cup
257,34.712,76.26,13.13,2,bottle;cup
258,34.846,76.93,13.13,3,cup;cup;cup
259,34.978,75.16,13.14,1,cup
260,35.112,76.38,13.12,1,bottle
261,35.245,75.56,13.12,0,
262,35.379,76.34,13.11,0,
263,35.514,77.43,13.1,0,
264,35.647,77.11,13.1,1,bottle
265,35.779,75.91,13.1,1,cup
266,35.911,74.68,13.1,0,
267,36.045,74.55,13.11,0,
268,36.179,75.85,13.11,0,
269,36.314,77.19,13.11,0,
270,36.446,75.98,13.11,0,
271,36.579,75.32,13.13,0,
272,36.712,75.23,13.16,1,cell phone
273,36.846,75.67,13.17,0,
274,36.982,77.62,13.16,0,
275,37.119,81.3,13.13,0,
276,37.251,80.36,13.1,0,
277,37.383,78.17,13.08,0,
278,37.514,76.16,13.08,0,
279,37.65,78.55,13.06,0,
280,37.789,84.41,13.01,0,
281,37.918,80.24,12.98,0,
282,38.049,77.24,12.98,0,
283,38.184,78.65,12.97,0,
284,38.315,76.68,12.97,0,
285,38.448,76.05,12.97,0,
286,38.582,77.27,12.96,1,cell phone
