frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
1,0.247,242.8,4.12,1,0.5921,0.0,34490.0
2,0.285,35.69,7.18,1,0.6373,0.0,31953.0
3,0.323,36.19,9.53,1,0.6441,0.0,42975.0
4,0.361,35.61,11.42,1,0.5142,0.0,55326.0
5,0.397,34.39,13.0,1,0.7796,0.0,46801.0
6,0.435,35.86,14.27,1,0.6638,0.0,63223.0
7,0.471,34.64,15.38,0,0.0,0.0,0.0
8,0.506,33.41,16.37,1,0.5389,0.0,77562.0
9,0.542,34.5,17.21,1,0.6636,0.0,64446.0
10,0.578,34.36,17.94,1,0.5533,0.0,42906.0
11,0.614,33.62,18.61,1,0.8186,0.0,24901.0
12,0.649,33.6,19.21,1,0.5609,0.0,84242.0
13,0.684,33.56,19.75,1,0.8123,0.0,30911.0
14,0.72,34.3,20.22,1,0.5498,0.0,47799.0
15,0.755,33.66,20.66,1,0.5966,0.0,41166.0
16,0.79,33.55,21.06,1,0.7803,0.0,31702.0
17,0.825,33.82,21.42,1,0.5603,0.0,54353.0
18,0.861,34.28,21.74,1,0.7129,0.0,122379.0
19,0.897,33.55,22.06,1,0.7544,0.0,36707.0
20,0.932,33.66,22.35,1,0.7589,0.0,53669.0
21,0.967,33.58,22.61,1,0.5954,0.0,66058.0
22,1.002,33.57,22.86,1,0.8189,0.0,3567.0
23,1.038,34.11,23.09,1,0.6759,0.0,82320.0
24,1.073,33.7,23.3,1,0.809,0.0,34658.0
25,1.108,33.52,23.51,1,0.7096,0.0,1437.0
26,1.143,33.56,23.7,1,0.5957,0.0,36090.0
27,1.179,33.64,23.88,1,0.6151,0.0,83646.0
28,1.213,33.48,24.05,1,0.609,0.0,51964.0
29,1.251,36.21,24.16,1,0.5904,0.0,36567.0
30,1.29,36.95,24.24,1,0.8401,0.0,36064.0
31,1.326,33.86,29.17,1,0.7859,0.0,78263.0
32,1.361,33.55,29.23,1,0.6011,0.0,71310.0
33,1.396,33.53,29.31,1,0.698,0.0,60457.0
34,1.431,33.57,29.37,1,0.6638,0.0,48707.0
35,1.467,34.05,29.38,1,0.6816,0.0,59788.0
36,1.502,33.65,29.44,1,0.7367,0.0,74598.0
37,1.537,33.21,29.48,1,0.5742,0.0,50398.0
38,1.576,37.39,29.37,1,0.718,0.0,34753.0
