frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
107,11.049,35.26,25.95,0,0.0,0.0,0.0
108,11.148,34.35,25.97,0,0.0,0.0,0.0
109,11.252,38.11,25.98,0,0.0,0.0,0.0
110,11.351,37.66,26.01,0,0.0,0.0,0.0
111,11.452,38.25,26.03,0,0.0,0.0,0.0
112,11.551,37.32,26.08,0,0.0,0.0,0.0
113,11.653,38.16,26.11,0,0.0,0.0,0.0
114,11.753,38.44,26.13,0,0.0,0.0,0.0
115,11.854,39.15,26.13,0,0.0,0.0,0.0
116,11.948,34.12,26.24,0,0.0,0.0,0.0
117,12.053,38.84,26.26,0,0.0,0.0,0.0
118,12.155,39.38,26.27,0,0.0,0.0,0.0
119,12.255,39.57,26.24,0,0.0,0.0,0.0
120,12.355,39.29,26.24,0,0.0,0.0,0.0
121,12.455,39.09,26.21,0,0.0,0.0,0.0
122,12.555,39.29,26.2,0,0.0,0.0,0.0
123,12.656,39.35,26.14,0,0.0,0.0,0.0
124,12.755,38.92,26.11,0,0.0,0.0,0.0
125,12.853,37.18,26.05,0,0.0,0.0,0.0
126,12.954,37.85,26.05,0,0.0,0.0,0.0
127,13.056,39.06,26.06,0,0.0,0.0,0.0
128,13.151,35.28,26.2,0,0.0,0.0,0.0
129,13.254,37.68,26.21,0,0.0,0.0,0.0
130,13.355,38.23,26.23,0,0.0,0.0,0.0
131,13.456,39.77,26.2,0,0.0,0.0,0.0
132,13.556,38.95,26.21,0,0.0,0.0,0.0
133,13.653,36.53,26.27,0,0.0,0.0,0.0
134,13.754,37.22,26.32,0,0.0,0.0,0.0
135,13.855,38.58,26.33,0,0.0,0.0,0.0
136,13.955,38.45,26.33,0,0.0,0.0,0.0
137,14.055,38.68,26.25,0,0.0,0.0,0.0
138,14.155,37.89,26.17,0,0.0,0.0,0.0
139,14.255,38.02,26.17,0,0.0,0.0,0.0
140,14.353,37.52,26.18,0,0.0,0.0,0.0
141,14.456,38.3,26.18,0,0.0,0.0,0.0
142,14.555,38.36,26.15,0,0.0,0.0,0.0
143,14.655,37.56,26.17,0,0.0,0.0,0.0
144,14.755,37.74,26.18,0,0.0,0.0,0.0
145,14.856,38.6,26.19,0,0.0,0.0,0.0
146,14.957,39.21,26.08,0,0.0,0.0,0.0
147,15.053,35.63,26.15,0,0.0,0.0,0.0
148,15.156,38.6,26.17,0,0.0,0.0,0.0
149,15.256,38.88,26.19,0,0.0,0.0,0.0
150,15.357,39.02,26.19,0,0.0,0.0,0.0
151,15.457,39.0,26.19,0,0.0,0.0,0.0
152,15.558,39.79,26.18,0,0.0,0.0,0.0
153,15.656,38.33,26.21,0,0.0,0.0,0.0
154,15.757,38.61,26.21,0,0.0,0.0,0.0
155,15.856,38.14,26.19,0,0.0,0.0,0.0
156,15.956,38.31,26.18,0,0.0,0.0,0.0
157,16.057,38.6,26.19,0,0.0,0.0,0.0
158,16.157,38.48,26.12,0,0.0,0.0,0.0
159,16.256,37.7,26.12,0,0.0,0.0,0.0
160,16.357,38.53,26.11,0,0.0,0.0,0.0
161,16.457,38.41,26.14,0,0.0,0.0,0.0
162,16.559,40.31,26.11,0,0.0,0.0,0.0
163,16.657,39.06,26.05,0,0.0,0.0,0.0
