frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.432,429.35,2.33,1,bottle
2,0.509,74.7,3.97,1,bottle
3,0.585,74.76,5.18,1,bottle
4,0.665,77.31,6.1,9,person;person;person;person;person;person;person;person;person
5,0.738,72.41,6.86,1,bottle
6,0.817,76.5,7.45,2,person;person
7,0.89,71.84,7.98,1,person
8,0.965,73.4,8.42,1,person
9,1.043,77.04,8.76,2,person;person
10,1.121,76.06,9.06,1,bottle
11,1.195,72.35,9.36,0,
12,1.269,72.57,9.61,0,
13,1.342,72.01,9.85,0,
14,1.417,73.46,10.04,2,bottle;cell phone
15,1.49,71.67,10.24,0,
16,1.565,73.51,10.4,0,
17,1.638,71.98,10.55,1,person
18,1.713,73.6,10.69,0,
19,1.787,72.34,10.81,1,bottle
20,1.861,72.79,10.93,1,cup
21,1.934,71.65,11.05,0,
22,2.009,73.14,11.14,4,bottle;person;person;person
23,2.082,71.53,11.24,0,
24,2.16,76.38,11.31,1,bottle
25,2.234,72.11,11.39,9,person;person;person;person;person;person;person;person;person
26,2.308,72.98,11.47,0,
27,2.381,71.97,11.54,0,
28,2.456,73.68,11.6,0,
29,2.533,75.16,11.65,0,
30,2.61,75.82,11.7,1,bottle
31,2.684,72.18,13.59,2,person;person
32,2.761,75.0,13.59,4,person;person;person;bottle
33,2.834,71.76,13.61,2,person;person
34,2.908,73.09,13.64,2,person;person
35,2.982,72.01,13.64,0,
36,3.056,72.51,13.66,1,person
37,3.129,72.52,13.66,1,bottle
38,3.208,76.61,13.64,0,
39,3.28,71.31,13.68,0,
40,3.355,73.44,13.69,3,person;person;person
41,3.429,72.33,13.69,7,person;person;person;person;bottle;person;person
42,3.503,72.64,13.69,1,bottle
43,3.577,72.12,13.69,0,
44,3.651,73.42,13.69,1,cup
45,3.726,73.33,13.68,6,person;person;person;person;person;bottle
46,3.801,73.16,13.68,0,
47,3.874,72.16,13.68,0,
48,3.953,76.84,13.66,1,person
49,4.027,71.95,13.66,0,
50,4.105,76.97,13.64,9,person;person;person;person;person;person;person;person;person
51,4.182,75.75,13.61,0,
52,4.26,75.86,13.6,1,bottle
53,4.337,75.5,13.57,0,
54,4.412,73.35,13.59,1,bottle
55,4.489,75.3,13.57,0,
56,4.563,73.19,13.57,0,
57,4.636,71.82,13.57,2,person;person
58,4.713,75.64,13.56,0,
59,4.789,73.97,13.57,0,
60,4.864,74.15,13.58,1,person
61,4.937,71.75,13.58,1,bottle
62,5.011,72.77,13.59,1,bottle
63,5.085,71.76,13.59,1,bottle
64,5.159,73.26,13.59,0,
65,5.233,72.14,13.59,1,bottle
66,5.307,72.92,13.59,0,
67,5.38,71.54,13.59,0,
68,5.455,73.64,13.61,0,
69,5.528,71.84,13.61,0,
70,5.602,72.23,13.62,1,bottle
71,5.678,74.8,13.6,0,
72,5.753,73.72,13.59,0,
73,5.826,71.73,13.6,0,
74,5.904,76.41,13.58,0,
75,5.98,74.93,13.57,1,person
76,6.054,72.27,13.57,1,bottle
77,6.127,72.28,13.57,0,
