frame,timestamp_s,inference_ms,fps,n_detections,labels
173,23.601,84.57,11.88,0,
174,23.734,84.18,11.87,0,
175,23.868,84.59,11.88,0,
176,24.002,84.66,11.89,0,
177,24.135,84.51,11.89,1,cell phone
178,24.269,85.19,11.89,0,
179,24.402,84.79,11.88,0,
180,24.535,84.56,11.88,0,
181,24.669,84.93,11.88,0,
182,24.802,84.26,11.88,0,
183,24.936,84.64,11.89,0,
184,25.069,84.95,11.89,0,
185,25.203,84.94,11.88,0,
186,25.337,85.48,11.87,1,cell phone
187,25.469,83.96,11.87,0,
188,25.602,83.76,11.87,1,cell phone
189,25.735,83.33,11.87,0,
190,25.869,83.45,11.87,1,cell phone
191,26.003,84.28,11.87,1,cell phone
192,26.138,85.51,11.87,1,cell phone
193,26.27,83.96,11.86,1,cell phone
194,26.402,83.09,11.86,1,cell phone
195,26.537,84.16,11.86,1,cell phone
196,26.671,85.35,11.85,0,
197,26.805,85.85,11.84,0,
198,26.935,82.9,11.84,0,
199,27.071,84.63,11.84,0,
200,27.204,84.7,11.84,0,
201,27.337,83.86,11.84,1,cell phone
202,27.471,84.28,11.84,1,cell phone
203,27.604,84.49,11.84,1,cell phone
204,27.739,85.56,11.84,1,cell phone
205,27.872,85.05,11.83,1,cell phone
206,28.006,86.04,11.83,1,cell phone
207,28.139,85.5,11.82,1,cell phone
208,28.271,83.85,11.83,1,cell phone
209,28.405,84.77,11.83,1,cell phone
210,28.539,84.75,11.83,0,
211,28.67,82.45,11.84,0,
212,28.805,84.37,11.84,0,
213,28.94,85.5,11.84,0,
214,29.073,85.11,11.83,0,
215,29.204,83.39,11.84,0,
216,29.338,84.05,11.85,0,
217,29.472,84.5,11.85,0,
218,29.607,85.83,11.84,0,
219,29.737,82.2,11.84,0,
220,29.872,83.33,11.84,0,
221,30.072,83.75,11.84,0,
222,30.206,84.35,11.85,0,
223,30.338,83.03,11.85,0,
224,30.472,83.06,11.85,0,
225,30.606,83.83,11.86,0,
226,30.739,83.76,11.86,0,
227,30.887,82.94,11.88,0,
228,31.021,83.99,11.87,0,
229,31.154,83.56,11.88,0,
230,31.288,84.02,11.88,0,
231,31.42,83.14,11.88,0,
232,31.553,83.29,11.89,0,
233,31.686,82.73,11.9,0,
234,31.821,84.25,11.9,0,
235,31.953,83.4,11.91,0,
236,32.086,83.44,11.92,0,
237,32.221,84.48,11.93,0,
238,32.353,83.19,11.93,0,
239,32.485,82.64,11.94,0,
240,32.619,83.84,11.95,0,
241,32.752,83.1,11.94,0,
242,32.885,82.79,11.95,0,
243,33.02,84.83,11.95,0,
244,33.153,84.16,11.96,0,
245,33.285,83.48,11.96,0,
246,33.421,85.58,11.95,0,
247,33.554,85.75,11.94,0,
248,33.687,85.58,11.95,0,
249,33.82,85.62,11.93,0,
250,33.954,86.15,11.92,0,
251,34.086,85.41,11.91,0,
252,34.221,86.3,11.9,0,
253,34.354,85.95,11.88,0,
254,34.487,85.61,11.87,0,
255,34.62,85.73,11.86,0,
256,34.753,85.54,11.86,0,
257,34.887,86.16,11.84,0,
258,35.019,85.45,11.83,0,
259,35.152,85.44,11.82,0,
260,35.285,85.39,11.82,0,
261,35.42,86.26,11.8,0,
262,35.551,84.71,11.8,0,
263,35.684,84.21,11.79,0,
264,35.817,84.08,11.79,0,
265,35.951,84.45,11.79,0,
266,36.083,83.64,11.79,0,
267,36.216,83.97,11.79,0,
268,36.349,83.82,11.78,0,
269,36.484,84.59,11.78,0,
270,36.616,84.41,11.77,0,
271,36.749,84.46,11.77,0,
272,36.882,83.75,11.76,0,
273,37.017,84.92,11.76,0,
274,37.148,83.58,11.76,0,
275,37.283,84.63,11.76,0,
276,37.415,83.4,11.77,0,
277,37.55,85.07,11.77,0,
278,37.682,85.02,11.78,0,
279,37.814,83.51,11.79,0,
280,37.948,83.6,11.8,0,
281,38.081,83.38,11.81,0,
282,38.214,83.49,11.82,0,
283,38.348,84.01,11.83,0,
284,38.481,84.4,11.83,0,
285,38.614,83.86,11.84,0,
286,38.748,85.2,11.84,0,
287,38.881,85.03,11.85,0,
288,39.015,85.63,11.85,0,
289,39.147,84.88,11.85,0,
290,39.28,84.02,11.86,0,
291,39.412,83.47,11.87,0,
292,39.545,82.66,11.88,0,
293,39.682,86.26,11.87,0,
294,39.813,83.73,11.87,0,
295,39.948,85.98,11.87,1,cell phone
296,40.081,85.46,11.86,0,
297,40.214,85.5,11.85,0,
298,40.347,84.98,11.84,0,
299,40.481,85.25,11.84,0,
300,40.613,84.39,11.84,1,cell phone
301,40.747,84.34,11.84,0,
302,40.88,83.92,11.84,1,cell phone
303,41.016,86.69,11.83,1,cell phone
304,41.147,84.54,11.83,0,
305,41.282,85.98,11.82,1,cell phone
306,41.412,82.69,11.83,0,
307,41.546,83.4,11.83,2,cell phone;cell phone
308,41.68,84.31,11.84,1,cell phone
309,41.814,84.07,11.83,0,
310,41.946,83.09,11.84,0,
311,42.081,84.21,11.83,0,
312,42.214,84.58,11.83,0,
313,42.349,85.18,11.82,0,
314,42.481,84.21,11.82,0,
315,42.613,82.92,11.83,0,
316,42.747,83.78,11.83,0,
317,42.882,84.39,11.84,0,
318,43.017,86.25,11.83,0,
319,43.148,83.07,11.84,0,
320,43.281,83.63,11.84,0,
321,43.415,84.52,11.84,1,cell phone
322,43.548,83.18,11.84,1,cell phone
323,43.682,83.48,11.85,0,
324,43.814,82.15,11.86,0,
325,43.949,84.26,11.87,0,
326,44.083,84.74,11.87,1,cell phone
327,44.216,84.56,11.87,1,cell phone
328,44.349,83.77,11.88,1,cell phone
329,44.483,84.31,11.88,1,cell phone
330,44.617,85.3,11.88,1,cell phone
331,44.75,84.75,11.88,0,
332,44.885,86.24,11.87,1,cell phone
333,45.017,84.82,11.87,1,cell phone
334,45.151,84.95,11.87,1,cell phone
335,45.285,85.95,11.87,1,cell phone
336,45.42,87.1,11.85,1,cell phone
337,45.551,85.2,11.84,1,cell phone
338,45.684,84.61,11.84,1,cell phone
339,45.816,83.13,11.85,1,cell phone
340,45.952,85.51,11.84,1,cell phone
341,46.084,84.37,11.83,0,
342,46.22,86.6,11.83,1,cell phone
343,46.352,85.74,11.82,1,cell phone
344,46.486,86.33,11.81,1,cell phone
345,46.619,85.86,11.8,1,cell phone
346,46.753,86.04,11.79,0,
347,46.887,86.48,11.78,0,
348,47.021,87.15,11.77,0,
349,47.153,85.9,11.76,0,
350,47.286,85.11,11.75,1,cell phone
351,47.421,86.52,11.75,0,
352,47.554,86.24,11.73,0,
353,47.686,85.26,11.72,0,
354,47.819,85.0,11.71,1,cell phone
355,47.954,86.01,11.7,2,cell phone;cell phone
356,48.087,85.33,11.7,0,
357,48.219,84.6,11.7,0,
358,48.353,84.64,11.7,0,
359,48.487,85.64,11.69,1,cell phone
360,48.621,85.47,11.69,2,cell phone;cell phone
361,48.753,84.66,11.69,0,
362,48.887,84.89,11.7,1,cell phone
363,49.02,84.37,11.7,1,cell phone
364,49.154,84.84,11.7,1,cell phone
365,49.286,83.87,11.71,1,cell phone
366,49.42,84.22,11.72,0,
367,49.553,83.7,11.73,0,
368,49.686,83.13,11.73,0,
369,49.82,84.13,11.73,0,
370,49.955,85.25,11.73,0,
371,50.087,84.66,11.73,0,
372,50.221,84.84,11.74,0,
373,50.355,85.15,11.74,0,
374,50.488,84.52,11.75,0,
375,50.688,85.13,11.75,0,
376,50.836,84.64,11.76,1,cell phone
377,50.971,85.79,11.76,0,
378,51.104,85.47,11.77,0,
379,51.234,83.32,11.78,0,
380,51.37,85.44,11.78,0,
381,51.503,85.67,11.78,0,
382,51.641,89.5,11.77,0,
383,51.775,91.14,11.74,0,
384,51.904,86.96,11.73,0,
385,52.036,85.17,11.74,0,
386,52.171,86.74,11.73,0,
387,52.303,86.83,11.72,0,
388,52.433,82.7,11.73,0,
389,52.566,82.82,11.74,0,
390,52.7,83.81,11.75,0,
391,52.832,83.07,11.76,0,
392,52.967,84.18,11.76,0,
393,53.1,83.49,11.76,0,
